Search Term 
Standard Bank
Commercial Bank of Africa
Dragon Capital
Raiffeisen Bank International
Agri-Vie
Vietinbank
Rizal Commercial Banking Corporation
ICICI
IDFC
HDFC
Yes Bank
Axis Bank
Gulf Opportunities Fund
BNP Paribas
Kotak Mahindra
Mekong Brahmaputra Clean Development Fund
Philippine Investment Alliance for Infrastructure
CreditAccess Asia
Janalakshmi Financial Services Private Limited
People’s Bank of China
Creador III
ABA Bank
Adenia Capital IV
Acleda Bank
Ahli United Bank
Amen Bank
Banco Continental
Banco CorpBanca
Bank Muscat
Bank of South Pacific
Banque Centrale Populaire
BDO Unibank
Ecobank Transnational
Komercijalna Banka
NBS Bank
Net1
UT Bank
Nedbank
Lebanon and Gulf Bank
 Coöperatieve Rabobank
Vilcap
Liwwa
ERM India Private
Huozhi
KASHF Foundation-Finvision Consultants
Neogrowth Credit
Sanadcom
ALCB Fund
Vilcap
Sasfin Bank
ADA Microfinance
Citibank
Terabank
ASA Pakistan
Umati Capital
Spartan SME Finance
Fransabank
Frontier Clearing Corporation
Oragroup
Fidelity Bank Ghana
Bank of Africa
Catalyst Fund I
Maghreb Private Equity Fund
Grofin
AfricInvest
African Rivers Fund
Adenia Capital III
BRAC Bank
VenturEast
South Asia Clean Energy Fund
Mekong Enterprise Fund
Cambodia Laos Myanmar Development Fund II
Unicredit
Deutsche Bank
Banco Sabadell
AKA Bank
I&M Bank
Commerzbank
Credit Agricole
Arab Bank
Tatra Leasing
Credo Bank
BBVA
Bank Audi Lebanon
Intesa Sanpaolo
Alba Leasing
Caixabank
Equity Bank
Hungarian Exim Bank
Moneta Money Bank-Bankoa
ABN Amro
Komercni Banka
ING Bank
Ibercaja
Banque de Tunisie
Banca Del Mezzogiorno
Banque Socredo
Italian Cooperative Banks
