Project Name,URL,Status,DFI,Search Term,Reviewed
"Western Provinces Rural Water Supply, Sanitation and Hygiene Promotion Project",http://projects.worldbank.org/P095315/western-provinces-rural-water-supply-sanitation-hygiene-promotion-project?lang=en,,World Bank,Bank of China,
Wuhan Urban Transport Project,http://projects.worldbank.org/P069852/wuhan-urban-transport-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Xinjiang Highway Project (03),http://projects.worldbank.org/P058847/xinjiang-highway-project-03?lang=en,,World Bank,"China Construction Bank, Bank of China",
Yangtze Basin Water Resources Project,http://projects.worldbank.org/P003596/yangtze-basin-water-resources-project?lang=en,,World Bank,Bank of China,
Yangtze Dike Strengthening Project,http://projects.worldbank.org/P064730/yangtze-dike-strengthening-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Yangtze Flood Emergency Rehabilitation Project,http://projects.worldbank.org/P063123/yangtze-flood-emergency-rehabilitation-project?lang=en,,World Bank,Bank of China,
Yanshi Thermal Power Project,http://projects.worldbank.org/P003505/yanshi-thermal-power-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Yixing Pumped Storage Project,http://projects.worldbank.org/P068058/yixing-pumped-storage-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Yunnan Early Childhood Education Innovation Project (YECEIP),http://projects.worldbank.org/P152860?lang=en,,World Bank,"China Construction Bank, Bank of China",
Zhejiang Power Development Project,http://projects.worldbank.org/P003642/zhejiang-power-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Zhejiang Provincial Highway Project,http://projects.worldbank.org/P003534/zhejiang-provincial-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Zhejiang Qiantang River Basin Small Town Environment Project,http://projects.worldbank.org/P116656/zhejiang-qiantang-river-basin-small-town-environment-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Zhejiang Rural Water Supply and Sanitation Project,http://projects.worldbank.org/P133018?lang=en,,World Bank,"China Construction Bank, Bank of China",
Zhengzhou Urban Rail Project,http://projects.worldbank.org/P128919/china-zhengzhou-urban-rail-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
