Project Name,URL,Status,DFI,Search Term,Reviewed
China: Anhui Shaying River Channel Improvement Project,http://projects.worldbank.org/P118647/china-anhui-shaying-river-channel-improvement-project?lang=en,,World Bank,Bank of China,
China: China-GEF-World Bank Urban Transport Partnership Program Project,http://projects.worldbank.org/P090335/china-china-gef-world-bank-urban-transport-partnership-program-project?lang=en,,World Bank,Bank of China,
China: Gansu Rural-Urban Integration Project,http://projects.worldbank.org/P132775?lang=en,,World Bank,"China Construction Bank, Bank of China",
China: Guangdong Social Security Integration and Rural Worker Training,http://projects.worldbank.org/P117596/china-guangdong-social-security-integration-migrant-training?lang=en,,World Bank,"China Construction Bank, Bank of China",
China: Hubei Inland Waterway Improvement Project,http://projects.worldbank.org/P158717?lang=en,,World Bank,"China Construction Bank, Bank of China",
China: Kunming Urban Rail Project,http://projects.worldbank.org/P117656/china-kunming-urban-rail-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
China: Nanchang Urban Rail Project,http://projects.worldbank.org/P132154/china-nanchang-urban-rail-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Chongqing Industrial Pollution Control and Reform Project,http://projects.worldbank.org/P003646/chongqing-industrial-pollution-control-reform-project?lang=en,,World Bank,Bank of China,
Daqing Oil Project,http://projects.worldbank.org/P003415/daqing-oil-project?lang=en,,World Bank,Bank of China,
Deep Sea Fisheries Project (01),http://projects.worldbank.org/P003660/deep-sea-fisheries-project-01?lang=en,,World Bank,"China Construction Bank, Bank of China",
Deep Sea Fisheries Project (02),http://projects.worldbank.org/P003663/deep-sea-fisheries-project-02?lang=en,,World Bank,"China Construction Bank, Bank of China",
Developing Market-based Energy Efficiency Program in China,http://projects.worldbank.org/P132748/establish-mv-system-energy-efficiency-china?lang=en,,World Bank,Bank of China,
Dongpu Oil Project,http://projects.worldbank.org/P003416/dongpu-oil-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
ENTERPRISE HOUSING AND SOCIAL SECURITY REFORM PROJECT,http://projects.worldbank.org/P003603/enterprise-housing-social-security-reform-project?lang=en,,World Bank,Bank of China,
ENTERPRISE REFORM PROJECT,http://projects.worldbank.org/P060270/enterprise-reform-project?lang=en,,World Bank,Bank of China,
East-West Roads Project (Almaty-Korgos Section): Western Europe - Western China International Transit Corridor (CAREC - 1b),http://projects.worldbank.org/P128050/east-west-roads-western-europe-western-china-international-transit-corridor-carec-1b?lang=en,,World Bank,"China Construction Bank, Bank of China",
Economic Management Support Operation First DPF,http://projects.worldbank.org/P162402?lang=en,,World Bank,Bank of China,
Energy Conservation Project,http://projects.worldbank.org/P003606/energy-conservation-project?lang=en,,World Bank,Bank of China,
"Energy Conservation Project, Phase II",http://projects.worldbank.org/P067337/energy-conservation-project-phase-ii?lang=en,,World Bank,Bank of China,
Ertan Hydroelectric Project,http://projects.worldbank.org/P003506/ertan-hydroelectric-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Ertan II Hydroelectric Project,http://projects.worldbank.org/P003507/ertan-ii-hydroelectric-project?lang=en,,World Bank,Bank of China,
Establishing a Professional Association of Government Financial Managers,http://projects.worldbank.org/P088012/establishing-professional-association-government-financial-managers?lang=en,,World Bank,Bank of China,
F-Road,https://disclosures.ifc.org/#/projectDetail/SII/31937,,IFC,"China Construction Bank, Bank of China",
Fenglin II,https://disclosures.ifc.org/#/projectDetail/SII/35042,,IFC,Bank of China,
Financial Sector Technical Assistance Project,http://projects.worldbank.org/P003623/financial-sector-technical-assistance-project?lang=en,,World Bank,Bank of China,
Forest Sector Development Project - Supplemental Credit,http://projects.worldbank.org/P074414/forest-sector-development-project-supplemental-credit?lang=en,,World Bank,Bank of China,
Forestry Development in Poor Areas Project,http://projects.worldbank.org/P046952/forestry-development-poor-areas-project?lang=en,,World Bank,Bank of China,
